"Bryan Cole" "Jordan Hall" "Lyle Thompson" "Miles Thompson" "Randy Staats" "Shayne Jackson" "Zach Miller" "Zed Williams" "Jordan MacIntosh" "Joel White" "Brendan Bomberry" "Connor Sellars"
"Bryan Cole" 0,0,1,0,0,1,0,2,0,0,0,0
"Jordan Hall" 0,0,3,1,4,8,2,0,0,0,0,0
"Lyle Thompson" 2,1,0,3,7,1,0,1,0,0,0,0
"Miles Thompson" 0,1,2,0,0,1,0,3,0,0,0,0
"Randy Staats" 4,4,8,5,0,9,1,1,0,0,0,0
"Shayne Jackson" 1,1,5,5,3,0,2,6,0,0,0,0
"Zach Miller" 1,1,1,0,1,1,0,3,0,0,0,0
"Zed Williams" 0,0,2,1,2,4,0,0,0,0,0,0
"Jordan MacIntosh" 0,0,2,0,1,0,0,0,0,0,0,0
"Joel White" 0,0,0,0,1,0,0,0,0,0,0,0
"Brendan Bomberry" 0,0,0,0,1,0,0,0,0,0,0,0
"Connor Sellars" 0,0,0,0,0,1,0,1,0,0,0,0
